功能大类,一级功能,二级功能,状态,备注
默认配置,systemd支持,无,O,不在测试范围内
默认配置,默认配置文件支持,无,✔️,/etc/swupdate.cfg
默认配置,pre和post脚本支持,无,✔️,文件地址在配置文件中指定
默认配置,硬件/软件兼容性支持,硬件版本,,
默认配置,软件版本,无,,
默认配置,Socket路径配置,control,,
默认配置,Socket路径配置,progress,,
默认配置,MTD支持,无,O,不在测试范围内
默认配置,lua,无,,
Bootloader接口,内存环境变量,无,✔️,
Bootloader接口,EFI支持,无,O,不在测试范围内
Bootloader接口,U-Boot支持,无,✔️,
Bootloader接口,U-Boot环境变量地址配置,无,✔️,/etc/fw_env.config
Bootloader接口,U-Boot环境变量初始值配置,无,,/etc/u-boot-initial-env
Bootloader接口,GRUB支持,无,O,不在测试范围内
Bootloader接口,NVIDIA Tegra Cboot支持,无,O,不在测试范围内
Bootloader接口,Bootloader接口静态链接支持,无,,
下载,镜像下载支持,无,,
下载,镜像SSL下载支持,无,,
Suricatta,SSL支持,无,,
Suricatta,hawkBit支持,无,,
Suricatta,HTTP支持,无,,
Suricatta,Lua模块,wfx支持,,
Suricatta,Lua模块,Lua模块嵌入,,
WebServer,mongoose服务器正常,无,✔️,无
WebServer,web应用正常,无,✔️,无
WebServer,应用重启机器,无,✔️,无
WebServer,上传swu更新,无,❌,机器会立马shutdown
WebServer,IPv6支持,无,,
WebServer,SSL支持,无,,
安全,OpenSSL支持,无,✔️,无
安全,镜像Sha256后缀支持,无,✔️,无
安全,签名镜像校验,,,
安全,对称密钥加密镜像,,,
压缩格式,zlib,无,❌,之前可以现在不行
压缩格式,zstd,无,✔️,无
解析器,libconfig解析,无,✔️,默认
解析器,json解析,无,,默认
解析器,sw-description根节点定义,,,
解析器,lua解析,,,
解析器,sw-description名字自定义,,,
处理器,archive,,,
处理器,bootloader,,,
处理器,copy,,,
处理器,delta,,,
处理器,diskpart,,,
处理器,diskpart创建文件系统,,,
处理器,Lua脚本,,,
处理器,嵌入Lua处理器,,,
处理器,raw,,,
处理器,rdiff,,,
处理器,readback,,,
处理器,远程处理器,,,
处理器,shell,,,
处理器,SWU转发器,,,
处理器,固件更新微控制器,,,
处理器,唯一UUID,,,
容器,Docker REST API支持,无,O,不在测试范围内
其他,installed-directly,无,✔️,无副本直接安装
裁剪,client,无,,
裁剪,progress,无,,
裁剪,ipc,无,,
裁剪,守护进程脚本,无,,
,,,,
,,,,
